"Statistic Label","Month","Commodity Group","UNIT","VALUE"
"Value of Imports","1974 August","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","668"
"Value of Imports","1974 August","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","5864"
"Value of Imports","1974 August","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","8619"
"Value of Imports","1974 August","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1800"
"Value of Imports","1974 August","Iron and steel (67)","Euro Thousand","6402"
"Value of Imports","1974 August","Non-ferrous metals (68)","Euro Thousand","2255"
"Value of Imports","1974 August","Manufactures of metal, n.e.s. (69)","Euro Thousand","5561"
"Value of Imports","1974 August","Machinery and transport equipment (7)","Euro Thousand","34043"
"Value of Imports","1974 August","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1974 August","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1974 August","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1974 August","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1974 August","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1974 August","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1974 August","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1974 August","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1974 August","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1974 August","Miscellaneous manufactured articles (8)","Euro Thousand","15162"
"Value of Imports","1974 August","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","551"
"Value of Imports","1974 August","Furniture and parts thereof (82)","Euro Thousand","583"
"Value of Imports","1974 August","Travel goods, handbags and similar containers (83)","Euro Thousand","217"
"Value of Imports","1974 August","Articles of apparel and clothing accessories (84)","Euro Thousand","3926"
"Value of Imports","1974 August","Footwear (85)","Euro Thousand","1148"
"Value of Imports","1974 August","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1974 August","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1974 August","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","6278"
"Value of Imports","1974 August","Commodities and transactions n.e.s. (9)","Euro Thousand","3983"
"Value of Imports","1974 August","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","100030"
"Value of Imports","1974 September","Total food and live animals (0)","Euro Thousand","15716"
"Value of Imports","1974 September","Live animals except fish etc. (00)","Euro Thousand","1548"
"Value of Imports","1974 September","Meat and meat preparations (01)","Euro Thousand","320"
"Value of Imports","1974 September","Dairy products and birds eggs (02)","Euro Thousand","190"
"Value of Imports","1974 September","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","293"
"Value of Imports","1974 September","Cereals and cereal preparations (04)","Euro Thousand","4059"
"Value of Imports","1974 September","Vegetables and fruit (05)","Euro Thousand","3092"
"Value of Imports","1974 September","Sugar, sugar preparations and honey (06)","Euro Thousand","2698"
"Value of Imports","1974 September","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1434"
"Value of Imports","1974 September","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","1025"
"Value of Imports","1974 September","Miscellaneous edible products and preparations (09)","Euro Thousand","1055"
"Value of Imports","1974 September","Beverages and tobacco (1)","Euro Thousand","5352"
"Value of Imports","1974 September","Beverages (11)","Euro Thousand","1097"
"Value of Imports","1974 September","Tobacco and tobacco manufactures (12)","Euro Thousand","4255"
"Value of Imports","1974 September","Crude materials, inedible, except fuels (2)","Euro Thousand","10125"
"Value of Imports","1974 September","Hides, skins and furskins, raw (21)","Euro Thousand","174"
"Value of Imports","1974 September","Oilseeds and oleaginous fruit (22)","Euro Thousand","104"
"Value of Imports","1974 September","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","772"
"Value of Imports","1974 September","Cork and wood (24)","Euro Thousand","3850"
"Value of Imports","1974 September","Pulp and waste paper (25)","Euro Thousand","768"
"Value of Imports","1974 September","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","2791"
"Value of Imports","1974 September","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","1168"
"Value of Imports","1974 September","Metalliferous ores and metal scrap (28)","Euro Thousand","249"
"Value of Imports","1974 September","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","249"
"Value of Imports","1974 September","Mineral fuels, lubricants and related materials (3)","Euro Thousand","21128"
"Value of Imports","1974 September","Coal, coke and briquettes (32)","Euro Thousand","1562"
"Value of Imports","1974 September","Petroleum, petroleum products and related materials (33)","Euro Thousand","19366"
"Value of Imports","1974 September","Gas, natural and manufactured (34)","Euro Thousand","201"
"Value of Imports","1974 September","Electric current (35)","Euro Thousand","0"
"Value of Imports","1974 September","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","1469"
"Value of Imports","1974 September","Animal oils and fats (41)","Euro Thousand","198"
"Value of Imports","1974 September","Fixed vegetable oils and fats (42)","Euro Thousand","1125"
"Value of Imports","1974 September","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","147"
"Value of Imports","1974 September","Chemicals and related products, n.e.s. (5)","Euro Thousand","18998"
"Value of Imports","1974 September","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1974 September","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1974 September","Dyeing, tanning and colouring materials (53)","Euro Thousand","856"
"Value of Imports","1974 September","Medicinal and pharmaceutical products (54)","Euro Thousand","2235"
"Value of Imports","1974 September","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","1505"
"Value of Imports","1974 September","Fertilisers, manufactured (56)","Euro Thousand","2392"
"Value of Imports","1974 September","Plastics in primary forms (57)","Euro Thousand","99"
"Value of Imports","1974 September","Plastics in non-primary forms (58)","Euro Thousand","5442"
"Value of Imports","1974 September","Chemical materials and products, n.e.s. (59)","Euro Thousand","1414"
"Value of Imports","1974 September","Manufactured goods classified chiefly by material (6)","Euro Thousand","35770"
"Value of Imports","1974 September","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","895"
"Value of Imports","1974 September","Rubber manufactures, n.e.s. (62)","Euro Thousand","1714"
"Value of Imports","1974 September","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","825"
"Value of Imports","1974 September","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","5959"
"Value of Imports","1974 September","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","9757"
"Value of Imports","1974 September","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1983"
"Value of Imports","1974 September","Iron and steel (67)","Euro Thousand","6678"
"Value of Imports","1974 September","Non-ferrous metals (68)","Euro Thousand","2198"
"Value of Imports","1974 September","Manufactures of metal, n.e.s. (69)","Euro Thousand","5761"
"Value of Imports","1974 September","Machinery and transport equipment (7)","Euro Thousand","33717"
"Value of Imports","1974 September","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1974 September","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1974 September","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1974 September","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1974 September","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1974 September","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1974 September","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1974 September","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1974 September","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1974 September","Miscellaneous manufactured articles (8)","Euro Thousand","15980"
"Value of Imports","1974 September","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","898"
"Value of Imports","1974 September","Furniture and parts thereof (82)","Euro Thousand","674"
"Value of Imports","1974 September","Travel goods, handbags and similar containers (83)","Euro Thousand","154"
"Value of Imports","1974 September","Articles of apparel and clothing accessories (84)","Euro Thousand","4429"
"Value of Imports","1974 September","Footwear (85)","Euro Thousand","1449"
"Value of Imports","1974 September","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1974 September","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1974 September","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","5495"
"Value of Imports","1974 September","Commodities and transactions n.e.s. (9)","Euro Thousand","5095"
"Value of Imports","1974 September","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","104465"
"Value of Imports","1974 October","Total food and live animals (0)","Euro Thousand","16987"
"Value of Imports","1974 October","Live animals except fish etc. (00)","Euro Thousand","1533"
"Value of Imports","1974 October","Meat and meat preparations (01)","Euro Thousand","306"
"Value of Imports","1974 October","Dairy products and birds eggs (02)","Euro Thousand","399"
"Value of Imports","1974 October","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","353"
"Value of Imports","1974 October","Cereals and cereal preparations (04)","Euro Thousand","3916"
"Value of Imports","1974 October","Vegetables and fruit (05)","Euro Thousand","3375"
"Value of Imports","1974 October","Sugar, sugar preparations and honey (06)","Euro Thousand","2258"
"Value of Imports","1974 October","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1412"
"Value of Imports","1974 October","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","2245"
"Value of Imports","1974 October","Miscellaneous edible products and preparations (09)","Euro Thousand","1191"
"Value of Imports","1974 October","Beverages and tobacco (1)","Euro Thousand","3882"
"Value of Imports","1974 October","Beverages (11)","Euro Thousand","1171"
"Value of Imports","1974 October","Tobacco and tobacco manufactures (12)","Euro Thousand","2711"
"Value of Imports","1974 October","Crude materials, inedible, except fuels (2)","Euro Thousand","10623"
"Value of Imports","1974 October","Hides, skins and furskins, raw (21)","Euro Thousand","135"
"Value of Imports","1974 October","Oilseeds and oleaginous fruit (22)","Euro Thousand","133"
"Value of Imports","1974 October","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","413"
"Value of Imports","1974 October","Cork and wood (24)","Euro Thousand","2750"
"Value of Imports","1974 October","Pulp and waste paper (25)","Euro Thousand","757"
"Value of Imports","1974 October","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","2748"
"Value of Imports","1974 October","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","2871"
"Value of Imports","1974 October","Metalliferous ores and metal scrap (28)","Euro Thousand","479"
"Value of Imports","1974 October","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","338"
"Value of Imports","1974 October","Mineral fuels, lubricants and related materials (3)","Euro Thousand","30279"
"Value of Imports","1974 October","Coal, coke and briquettes (32)","Euro Thousand","2565"
"Value of Imports","1974 October","Petroleum, petroleum products and related materials (33)","Euro Thousand","27442"
"Value of Imports","1974 October","Gas, natural and manufactured (34)","Euro Thousand","273"
"Value of Imports","1974 October","Electric current (35)","Euro Thousand","0"
"Value of Imports","1974 October","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","1798"
"Value of Imports","1974 October","Animal oils and fats (41)","Euro Thousand","163"
"Value of Imports","1974 October","Fixed vegetable oils and fats (42)","Euro Thousand","1100"
"Value of Imports","1974 October","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","536"
"Value of Imports","1974 October","Chemicals and related products, n.e.s. (5)","Euro Thousand","22215"
"Value of Imports","1974 October","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1974 October","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1974 October","Dyeing, tanning and colouring materials (53)","Euro Thousand","956"
"Value of Imports","1974 October","Medicinal and pharmaceutical products (54)","Euro Thousand","2885"
"Value of Imports","1974 October","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","1757"
"Value of Imports","1974 October","Fertilisers, manufactured (56)","Euro Thousand","3372"
"Value of Imports","1974 October","Plastics in primary forms (57)","Euro Thousand","103"
"Value of Imports","1974 October","Plastics in non-primary forms (58)","Euro Thousand","5866"
"Value of Imports","1974 October","Chemical materials and products, n.e.s. (59)","Euro Thousand","1638"
"Value of Imports","1974 October","Manufactured goods classified chiefly by material (6)","Euro Thousand","40247"
"Value of Imports","1974 October","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","829"
"Value of Imports","1974 October","Rubber manufactures, n.e.s. (62)","Euro Thousand","1919"
"Value of Imports","1974 October","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","819"
"Value of Imports","1974 October","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","7297"
"Value of Imports","1974 October","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","10885"
"Value of Imports","1974 October","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","2590"
"Value of Imports","1974 October","Iron and steel (67)","Euro Thousand","7034"
"Value of Imports","1974 October","Non-ferrous metals (68)","Euro Thousand","2458"
"Value of Imports","1974 October","Manufactures of metal, n.e.s. (69)","Euro Thousand","6413"
"Value of Imports","1974 October","Machinery and transport equipment (7)","Euro Thousand","37773"
"Value of Imports","1974 October","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1974 October","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1974 October","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1974 October","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1974 October","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1974 October","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1974 October","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1974 October","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1974 October","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1974 October","Miscellaneous manufactured articles (8)","Euro Thousand","18101"
"Value of Imports","1974 October","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","800"
"Value of Imports","1974 October","Furniture and parts thereof (82)","Euro Thousand","882"
"Value of Imports","1974 October","Travel goods, handbags and similar containers (83)","Euro Thousand","243"
"Value of Imports","1974 October","Articles of apparel and clothing accessories (84)","Euro Thousand","5509"
"Value of Imports","1974 October","Footwear (85)","Euro Thousand","1360"
"Value of Imports","1974 October","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1974 October","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1974 October","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","6495"
"Value of Imports","1974 October","Commodities and transactions n.e.s. (9)","Euro Thousand","4674"
"Value of Imports","1974 October","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","118336"
"Value of Imports","1974 November","Total food and live animals (0)","Euro Thousand","16326"
"Value of Imports","1974 November","Live animals except fish etc. (00)","Euro Thousand","1181"
"Value of Imports","1974 November","Meat and meat preparations (01)","Euro Thousand","256"
"Value of Imports","1974 November","Dairy products and birds eggs (02)","Euro Thousand","446"
"Value of Imports","1974 November","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","290"
"Value of Imports","1974 November","Cereals and cereal preparations (04)","Euro Thousand","4152"
"Value of Imports","1974 November","Vegetables and fruit (05)","Euro Thousand","3234"
"Value of Imports","1974 November","Sugar, sugar preparations and honey (06)","Euro Thousand","2108"
"Value of Imports","1974 November","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","979"
"Value of Imports","1974 November","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","2424"
"Value of Imports","1974 November","Miscellaneous edible products and preparations (09)","Euro Thousand","1256"
"Value of Imports","1974 November","Beverages and tobacco (1)","Euro Thousand","3724"
"Value of Imports","1974 November","Beverages (11)","Euro Thousand","1619"
"Value of Imports","1974 November","Tobacco and tobacco manufactures (12)","Euro Thousand","2106"
"Value of Imports","1974 November","Crude materials, inedible, except fuels (2)","Euro Thousand","7655"
"Value of Imports","1974 November","Hides, skins and furskins, raw (21)","Euro Thousand","155"
"Value of Imports","1974 November","Oilseeds and oleaginous fruit (22)","Euro Thousand","358"
"Value of Imports","1974 November","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","613"
"Value of Imports","1974 November","Cork and wood (24)","Euro Thousand","1515"
"Value of Imports","1974 November","Pulp and waste paper (25)","Euro Thousand","375"
"Value of Imports","1974 November","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","1731"
"Value of Imports","1974 November","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","2406"
"Value of Imports","1974 November","Metalliferous ores and metal scrap (28)","Euro Thousand","165"
"Value of Imports","1974 November","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","339"
"Value of Imports","1974 November","Mineral fuels, lubricants and related materials (3)","Euro Thousand","19487"
"Value of Imports","1974 November","Coal, coke and briquettes (32)","Euro Thousand","1616"
"Value of Imports","1974 November","Petroleum, petroleum products and related materials (33)","Euro Thousand","17573"
"Value of Imports","1974 November","Gas, natural and manufactured (34)","Euro Thousand","296"
"Value of Imports","1974 November","Electric current (35)","Euro Thousand","0"
"Value of Imports","1974 November","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","870"
"Value of Imports","1974 November","Animal oils and fats (41)","Euro Thousand","207"
"Value of Imports","1974 November","Fixed vegetable oils and fats (42)","Euro Thousand","582"
"Value of Imports","1974 November","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","81"
"Value of Imports","1974 November","Chemicals and related products, n.e.s. (5)","Euro Thousand","18993"
"Value of Imports","1974 November","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1974 November","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1974 November","Dyeing, tanning and colouring materials (53)","Euro Thousand","833"
"Value of Imports","1974 November","Medicinal and pharmaceutical products (54)","Euro Thousand","2652"
"Value of Imports","1974 November","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","1689"
"Value of Imports","1974 November","Fertilisers, manufactured (56)","Euro Thousand","3393"
"Value of Imports","1974 November","Plastics in primary forms (57)","Euro Thousand","114"
"Value of Imports","1974 November","Plastics in non-primary forms (58)","Euro Thousand","4021"
"Value of Imports","1974 November","Chemical materials and products, n.e.s. (59)","Euro Thousand","1387"
"Value of Imports","1974 November","Manufactured goods classified chiefly by material (6)","Euro Thousand","32607"
"Value of Imports","1974 November","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","766"
"Value of Imports","1974 November","Rubber manufactures, n.e.s. (62)","Euro Thousand","1360"
"Value of Imports","1974 November","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","907"
"Value of Imports","1974 November","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","6111"
"Value of Imports","1974 November","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","9178"
"Value of Imports","1974 November","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","2263"
"Value of Imports","1974 November","Iron and steel (67)","Euro Thousand","5014"
"Value of Imports","1974 November","Non-ferrous metals (68)","Euro Thousand","2071"
"Value of Imports","1974 November","Manufactures of metal, n.e.s. (69)","Euro Thousand","4938"
"Value of Imports","1974 November","Machinery and transport equipment (7)","Euro Thousand","38130"
"Value of Imports","1974 November","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1974 November","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1974 November","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1974 November","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1974 November","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1974 November","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1974 November","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1974 November","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1974 November","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1974 November","Miscellaneous manufactured articles (8)","Euro Thousand","15170"
"Value of Imports","1974 November","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","797"
"Value of Imports","1974 November","Furniture and parts thereof (82)","Euro Thousand","809"
"Value of Imports","1974 November","Travel goods, handbags and similar containers (83)","Euro Thousand","222"
"Value of Imports","1974 November","Articles of apparel and clothing accessories (84)","Euro Thousand","4184"
"Value of Imports","1974 November","Footwear (85)","Euro Thousand","964"
"Value of Imports","1974 November","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1974 November","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1974 November","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","5401"
"Value of Imports","1974 November","Commodities and transactions n.e.s. (9)","Euro Thousand","4951"
"Value of Imports","1974 November","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","104899"
"Value of Imports","1974 December","Total food and live animals (0)","Euro Thousand","19333"
"Value of Imports","1974 December","Live animals except fish etc. (00)","Euro Thousand","1262"
"Value of Imports","1974 December","Meat and meat preparations (01)","Euro Thousand","188"
"Value of Imports","1974 December","Dairy products and birds eggs (02)","Euro Thousand","387"
"Value of Imports","1974 December","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","297"
"Value of Imports","1974 December","Cereals and cereal preparations (04)","Euro Thousand","5636"
"Value of Imports","1974 December","Vegetables and fruit (05)","Euro Thousand","2925"
"Value of Imports","1974 December","Sugar, sugar preparations and honey (06)","Euro Thousand","4091"
"Value of Imports","1974 December","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1870"
"Value of Imports","1974 December","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","1689"
"Value of Imports","1974 December","Miscellaneous edible products and preparations (09)","Euro Thousand","987"
"Value of Imports","1974 December","Beverages and tobacco (1)","Euro Thousand","2016"
"Value of Imports","1974 December","Beverages (11)","Euro Thousand","1054"
"Value of Imports","1974 December","Tobacco and tobacco manufactures (12)","Euro Thousand","962"
"Value of Imports","1974 December","Crude materials, inedible, except fuels (2)","Euro Thousand","9000"
"Value of Imports","1974 December","Hides, skins and furskins, raw (21)","Euro Thousand","110"
"Value of Imports","1974 December","Oilseeds and oleaginous fruit (22)","Euro Thousand","380"
"Value of Imports","1974 December","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","585"
"Value of Imports","1974 December","Cork and wood (24)","Euro Thousand","2209"
"Value of Imports","1974 December","Pulp and waste paper (25)","Euro Thousand","631"
"Value of Imports","1974 December","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","2181"
"Value of Imports","1974 December","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","1594"
"Value of Imports","1974 December","Metalliferous ores and metal scrap (28)","Euro Thousand","325"
"Value of Imports","1974 December","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","984"
"Value of Imports","1974 December","Mineral fuels, lubricants and related materials (3)","Euro Thousand","26944"
"Value of Imports","1974 December","Coal, coke and briquettes (32)","Euro Thousand","1903"
"Value of Imports","1974 December","Petroleum, petroleum products and related materials (33)","Euro Thousand","24747"
"Value of Imports","1974 December","Gas, natural and manufactured (34)","Euro Thousand","293"
"Value of Imports","1974 December","Electric current (35)","Euro Thousand","0"
"Value of Imports","1974 December","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","768"
"Value of Imports","1974 December","Animal oils and fats (41)","Euro Thousand","102"
"Value of Imports","1974 December","Fixed vegetable oils and fats (42)","Euro Thousand","608"
"Value of Imports","1974 December","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","58"
"Value of Imports","1974 December","Chemicals and related products, n.e.s. (5)","Euro Thousand","18693"
"Value of Imports","1974 December","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1974 December","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1974 December","Dyeing, tanning and colouring materials (53)","Euro Thousand","584"
"Value of Imports","1974 December","Medicinal and pharmaceutical products (54)","Euro Thousand","2616"
"Value of Imports","1974 December","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","1149"
"Value of Imports","1974 December","Fertilisers, manufactured (56)","Euro Thousand","4219"
"Value of Imports","1974 December","Plastics in primary forms (57)","Euro Thousand","56"
"Value of Imports","1974 December","Plastics in non-primary forms (58)","Euro Thousand","2961"
"Value of Imports","1974 December","Chemical materials and products, n.e.s. (59)","Euro Thousand","1412"
"Value of Imports","1974 December","Manufactured goods classified chiefly by material (6)","Euro Thousand","27604"
"Value of Imports","1974 December","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","641"
"Value of Imports","1974 December","Rubber manufactures, n.e.s. (62)","Euro Thousand","1197"
"Value of Imports","1974 December","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","608"
"Value of Imports","1974 December","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","4372"
"Value of Imports","1974 December","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","7485"
"Value of Imports","1974 December","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1949"
"Value of Imports","1974 December","Iron and steel (67)","Euro Thousand","4979"
"Value of Imports","1974 December","Non-ferrous metals (68)","Euro Thousand","1757"
"Value of Imports","1974 December","Manufactures of metal, n.e.s. (69)","Euro Thousand","4614"
"Value of Imports","1974 December","Machinery and transport equipment (7)","Euro Thousand","34127"
"Value of Imports","1974 December","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1974 December","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1974 December","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1974 December","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1974 December","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1974 December","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1974 December","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1974 December","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1974 December","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1974 December","Miscellaneous manufactured articles (8)","Euro Thousand","12118"
"Value of Imports","1974 December","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","679"
"Value of Imports","1974 December","Furniture and parts thereof (82)","Euro Thousand","709"
"Value of Imports","1974 December","Travel goods, handbags and similar containers (83)","Euro Thousand","135"
"Value of Imports","1974 December","Articles of apparel and clothing accessories (84)","Euro Thousand","2847"
"Value of Imports","1974 December","Footwear (85)","Euro Thousand","607"
"Value of Imports","1974 December","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1974 December","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1974 December","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","4435"
"Value of Imports","1974 December","Commodities and transactions n.e.s. (9)","Euro Thousand","5501"
"Value of Imports","1974 December","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","92541"
"Value of Imports","1975 January","Total food and live animals (0)","Euro Thousand","24242"
"Value of Imports","1975 January","Live animals except fish etc. (00)","Euro Thousand","1489"
"Value of Imports","1975 January","Meat and meat preparations (01)","Euro Thousand","155"
"Value of Imports","1975 January","Dairy products and birds eggs (02)","Euro Thousand","458"
"Value of Imports","1975 January","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","495"
